	CFU	mys	unk	poly	pvalue
Slc4a1	1.602703912	1.440707743	9.603170099	9.729573163	0.000241452
Tmem184a	0.881800074	1.058565179	8.838091413	8.312914712	0.011717997
Mir3062	5.289897158	5.612210935	0.137503524	0.137503524	0.019302389
Alas2	0.509515462	1.707224382	7.291935022	7.754125879	0.035172932
Fam132b	0.677037302	1.27639542	7.716064914	6.51955763	0.028228423
Csf2rb2	2.46662973	1.411230981	7.7273419	8.016423889	0.0424838
2310046K01Rik	0.145778144	0.212639433	6.312768624	5.79585005	0.025601336
Ypel4	0.311318262	1.0043964	6.484104287	6.778891907	0.01688221
Arhgap23	3.368217981	4.63355327	9.876068721	9.347486283	0.041812018
Tmcc2	3.494210777	4.2077289	9.348703814	9.676269172	0.017007918
Csf2rb	5.138032142	4.877449792	10.62741533	9.968580402	0.020325807
Ache	4.153967428	3.834377501	9.412320026	9.227550967	0.003632235
Myb	5.932963519	5.96051866	1.165873359	0.64476261	0.032413305
Slc38a5	0.234799271	1.200843299	5.786290541	4.971281431	0.019308757
Rragd	0.830369729	0.351528829	4.782990349	5.590227735	0.019441431
Evi5l	3.090821257	3.163823946	7.838535836	8.039856711	0.005683848
Dnajb2	2.496605513	1.918420584	6.587788015	7.025449667	0.008013972
Slc6a9	1.926067755	1.794449139	6.669083474	6.277899224	0.015066449
Slc25a37	3.230553498	3.103336492	7.616615004	7.532932498	0.000760167
Abhd4	2.557755619	2.353887836	7.149533747	6.450181897	0.036509908
Rab3il1	0.842737525	1.085852914	5.37276409	5.54282449	0.001959035
Ppp2r5b	2.295646627	3.30706562	7.44281912	6.998432472	0.040694346
Mmp14	5.930649827	4.888046691	2.508197904	1.457825399	0.043618593
Fam46c	3.691880281	3.425945313	8.228010555	7.689229261	0.014660216
Ppp1r15a	4.752395366	5.421054947	9.225643675	9.437629329	0.033587367
Dyrk1b	4.428423826	3.533538431	8.549519011	7.842582916	0.02052238
Lgals9	5.177921778	5.13924027	1.307451841	1.181407918	0.005242832
Map1lc3a	2.28125907	3.163331267	7.214435698	6.500950202	0.020534486
Hmga1-rs1	7.245590734	7.220271905	2.935320186	3.478713002	0.042480559
Fn3k	0.269551466	0.271909681	3.804198152	4.404085654	0.049707538
Samd14	7.130065982	6.781648224	11.33383739	10.54352488	0.033423533
Tspan33	4.511657789	4.102985598	8.260825467	8.419484115	0.015919508
Bcl2l1	5.358681087	4.769798181	9.209124335	8.608365723	0.011774354
Atg9a	4.702646463	4.509917486	8.551377586	8.569194855	0.014670841
Fam117a	6.383246359	5.777285566	10.4374608	9.417369426	0.037461338
Il1rl1	3.95799815	3.693999825	0.162712636	0.16696579	0.022908422
Fbxl19	4.693386593	4.747253114	8.52194586	8.517074867	0.004193043
Tubb1	0.137503524	0.239591121	3.676120694	3.851679091	0.002596955
Cpne9	0.153713779	0.578626719	4.305802756	3.707270773	0.013945658
Crat	2.965525731	2.77833896	6.620532162	6.368372007	0.002763461
Matn1	0.62712586	0.26128516	3.392557852	3.380033973	0.039314137
Ccdc88c	3.586500555	4.552518481	7.417852515	7.858664869	0.049404254
Wsb2	3.267459392	3.612682759	7.014366452	7.265736926	0.004868448
Gypa	3.735857901	3.718219131	7.121512796	7.390444139	0.023664449
Lmna	7.2647616	7.029596441	10.8356399	10.72714616	0.006626257
Flna	4.505643263	4.153829651	0.839942662	0.692338812	0.013855488
Ftl1	11.46249716	11.57897172	14.80093023	15.33151181	0.038833861
Uba7	3.27793269	2.620863194	5.853836004	6.297312492	0.022559249
Tmem150a	1.649022165	0.967951362	4.586164246	5.067496746	0.018712399
Calcoco1	3.333792948	2.449566657	5.627061055	6.733259423	0.047429004
Ranbp10	4.356284692	4.334010425	7.791280123	7.932923374	0.010815532
Ypel2	1.059735285	1.60452684	4.376262596	5.187751914	0.027489122
Abcb9	0.410497415	0.803448591	4.426204362	3.898846829	0.011029194
Tuba4a	4.867021688	4.574931031	8.021607423	7.936213901	0.018417189
Casp3	5.328534914	5.074115767	2.074854765	2.194632374	0.009067023
1810058I24Rik	2.325420956	3.051065779	5.848154693	6.239926887	0.030187374
Ctse	7.572882091	7.434986772	3.966513527	4.018829986	0.004866393
Ergic1	4.722302073	4.190330402	1.363114995	0.916991719	0.011867117
Hbb-bh1	4.331661062	4.928925783	7.524811647	8.412665857	0.033816741
Rpl23a	7.547341857	7.178654893	4.698140673	4.244651156	0.011494888
Pfkfb4	1.463125431	1.136683578	4.640736598	4.837963419	0.006948142
Npm1	6.431808466	5.561289473	2.330833719	2.743471883	0.04313786
Tnfrsf13c	0.310557672	0.33509446	3.482861187	3.17316582	0.031754069
Wbscr27	0.965980016	1.997303248	4.269968201	5.129719881	0.043486607
Hagh	3.474643704	4.117329336	6.691478332	7.432675516	0.022950266
Gypc	5.200033464	4.66715413	8.527993	8.060079818	0.011549472
Ydjc	4.622977191	4.861588194	1.812346247	1.198682729	0.035620095
Impa2	5.190251375	4.642909471	1.834185327	1.57710732	0.025205597
Tmem14c	6.667068953	7.193998379	10.51014107	10.18759951	0.015064942
Hist1h1c	3.46125482	4.240711207	6.43936549	7.405813713	0.042031715
Ormdl3	5.186405474	4.844425828	8.174571205	8.584853543	0.007034036
Cmas	4.714778529	5.564268407	7.93440445	8.826786798	0.034456559
Numbl	2.062867741	2.620131245	5.753871915	5.572507728	0.035516
Tfap4	5.038572262	4.668136148	1.826741681	1.513369463	0.006387032
C2cd2l	2.645205921	2.943360638	6.411926153	5.748388774	0.033552845
Ehd1	4.826446796	5.375206288	8.250170489	8.422460086	0.036934598
Hbb-b2	9.440249384	10.41693219	12.72029642	13.31997868	0.048129707
Hbb-b1	9.440258645	10.41692938	12.72029642	13.3199802	0.048128281
Bzw2	4.509898489	4.34071892	1.226792109	1.42936958	0.002113783
Mxi1	2.667428936	2.371271689	5.961905728	5.566748192	0.007637078
Rrp15	4.261312664	4.716947009	1.179300841	1.472508567	0.012530657
Smyd5	4.01210379	3.799035484	0.910223792	0.453573416	0.019589972
Serf1	3.901021331	4.364824532	0.812336388	1.277699155	0.011129817
Hyal1	0.427668384	0.346361256	3.503882968	3.640007722	0.001934374
Mthfd1	6.591122862	6.569671843	3.680200563	3.387301876	0.029740812
Ube2h	2.502946658	2.198022608	5.401637292	5.57438917	0.008151886
Ufsp1	4.540207099	4.468022812	7.799346388	7.510479358	0.021162971
Gm13157	3.768247855	3.736171894	0.698212254	0.544438895	0.011818077
Atic	5.740045164	6.370795496	3.179953664	2.931110025	0.040161843
Samsn1	3.732649092	3.784095615	0.44285859	0.678865169	0.017993258
2010011I20Rik	3.893672852	4.524270584	7.28344956	7.468102664	0.046607857
Elf1	2.215737608	3.146578654	6.050506051	5.474302995	0.044525085
Bri3bp	4.311859095	4.45800133	1.520884843	1.30903063	0.003296664
8-Mar	2.308535624	3.253544594	5.510724614	6.085363041	0.047829153
Lpcat4	3.998312864	3.285400739	1.231844022	0.456876574	0.034144897
Npepl1	6.879166615	7.061009292	4.443182267	3.862183558	0.046660043
Nudt18	2.322652146	2.150468693	5.199201184	5.24412975	0.012166628
Mknk1	4.777651159	4.535480684	7.762395328	7.839506155	0.014215294
Spnb1	5.762133512	6.030249991	8.539705535	9.241003548	0.047328315
Nat6	5.055798676	4.136905009	7.927772037	7.377175819	0.04535553
